Job Title,Company Name,Post Date,Job Location,Job Skills,Job Time Status,Job Location Status,Links,Salary,Requirements
Python - Django Full-Stack Developer,Software House Solution  -,4 days ago,"Heliopolis, Cairo, Egypt ",Full TimeOn-siteEntry Level · 0 - 4 Yrs of Exp · IT/Software Development · Engineering - Other · Python · Django · JavaScript · HTML5 · CSS3 · React · SQL · Git,Full Time,On-site,https://wuzzuf.net/jobs/p/arhv2w0oftz7-python-django-full-stack-developer-software-house-solution-cairo-egypt,Not specified,"Bachelor’s degree in Computer Science, Software Engineering, or a related field.2-4 years of professional experience as a Python and Django developer.Proven experience with front-end technologies such as HTML5, CSS3, JavaScript, and modern frameworks (e.g., React, Angular, or Vue.js).Strong understanding of RESTful API design and integration.Familiarity with relational databases such as PostgreSQL or MySQL.Experience with version control systems, preferably Git.Ability to work effectively in a fast-paced, collaborative, and open office environment.Excellent problem-solving and analytical skills.Strong communication and teamwork abilities.Demonstrated ability to manage multiple priorities and meet deadlines."
Python Developer,Digizilla -,20 hours ago,"Nasr City, Cairo, Egypt ",Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Django · SQL · Team Collaboration · Object-Oriented Programming (OOP) · Git · Problem Solving,Full Time,On-site,https://wuzzuf.net/jobs/p/kfghqwanrucc-python-developer-digizilla-cairo-egypt,Not specified,
Senior Backend Engineer (Node.js / Python),Confidential AI Legal Tech Platform -,2 days ago,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PostgreSQL · DynamoDB · Back-End Development · Python · Python Scripting · python development · Software Development · Software Engineering,Full Time,On-site,https://wuzzuf.net/jobs/p/wtsuxy6uhwwi-senior-backend-engineer-nodejs-python-confidential-ai-legal-tech-platform-cairo-egypt,Not specified,3+ Years in Python BackendBS in Computer Science or equivalent discipline.Required expertise includes PostgreSQL (JSONB) and DynamoDB.
Python Developer,ZTechnium -,2 days ago,"Nasr City, Cairo, Egypt ",InternshipOn-siteEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Python · orm · Communication · Data · Data Structures · Linux · OOP,Internship,On-site,https://wuzzuf.net/internship/cqxhxddmknzx-python-developer-ztechnium-cairo-egypt,Not specified,"Solid understanding of Python programmingFamiliar with basic data structures, OOP, and SQLComfortable using Linux, Git, and command-line toolsast learner with good communication and collaboration skillsAbility to dedicate at least 20–30 hours per week"
Python Instructor for Kids 13-17 - Alexandria,CodeTreps -,2 days ago,"Mahta Alraml, Alexandria, Egypt ",Full TimePart TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Teaching · instructor · Education · MIT AppInventor · Code.org · Pictoblox · Coding,Full Time,On-site,https://wuzzuf.net/jobs/p/x0wsybvwib7i-python-instructor-for-kids-13-17-alexandria-codetreps-alexandria-egypt,Not specified,"You have previous experience with teaching kids Python (ages 13 - 17), and are quite comfortable managing a class of kids in the age range of 13-17 years old.A focus on student engagement, enjoyment, and understanding rather than just syllabus completion.Having background in Coding/Computer Science and in the Python programming language so that you're able to advise on new Curriculum Developments for Python track.You are comfortable with public speaking and presenting to crowds (maybe even enjoy it) both in  Arabic and EnglishYou have a good spoken English. And you must be based in Alexandria, Egypt.Have some professional experience with coding (even through freelance work or internships)Have a reasonable background in entrepreneurship concepts.Have background in any of the following: Scratch, Pictoblocks, Code.org, JavaScript, MIT App Inventor, IoT, or Microcontrollers is a big plus.Experience with coding competitions for kids."
Senior Backend Developer (Python/Django),Nexus Analytica -,4 days ago,"Shorouk City, Cairo, Egypt ",Full TimeOn-siteExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django Framework · RESTful APIs · SOLID OOP Principles · Data Modeling · ORM · Asynchronous Programming · Pipeline Management,Part Time,On-site,https://wuzzuf.net/jobs/p/zonhevxnq9rj-senior-backend-developer-pythondjango-nexus-analytica-cairo-egypt,Not specified,"Strong command of Django, Django REST Framework, and Python tooling.Solid understanding of relational databases (e.g., PostgreSQL, MySQL) and ORM optimization.Familiarity with cloud platforms (preferably Microsoft Azure) and containerized environments (Docker).Working knowledge of Git, CI/CD pipelines, and RESTful integration.Experience with test-driven development and debugging complex systems.Strong problem-solving, debugging, and analytical skills.Excellent written and verbal communication.Ability to work independently and as part of a team in Agile/Scrum environments.Experience with GraphQL or WebSocket implementations.Familiarity with Azure services like Azure App Services, Key Vault, Azure Functions, or AKS.Background in energy, mobility, or digital infrastructure platforms.Exposure to secure coding practices and data privacy regulations (e.g., GDPR)."
AI Developer (Python),Ultimate Solutions Egypt -,4 days ago,"Sheikh Zayed, Giza, Egypt ",Full TimeOn-siteExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · AWS · Azure · Computer Science · Data Science · Git · Information Technology (IT),Full Time,On-site,https://wuzzuf.net/jobs/p/fzhlcjbkzah5-ai-developer-python-ultimate-solutions-egypt-giza-egypt,Not specified,"Bachelor's degree in Computer Science, Data Science, or related field1-2 years of experience in Python programmingBasic understanding of machine learning conceptsKnowledge of Python fundamentals and data structuresExperience with basic data manipulation using pandas and NumPyFamiliarity with at least one ML framework (TensorFlow, PyTorch, or scikit-learn)Understanding of basic statistical conceptsKnowledge of Git version control basicsPython programming basicsBasic understanding of: NumPy and pandas for data handlingMatplotlib or Plotly for visualizationOne ML framework (TensorFlow, PyTorch, or scikit-learn)NumPy and pandas for data handlingMatplotlib or Plotly for visualizationOne ML framework (TensorFlow, PyTorch, or scikit-learn)Basic SQL knowledgeGit fundamentalsBasic understanding of: Neural networksNatural Language Processing conceptsComputer Vision basicsNeural networksNatural Language Processing conceptsComputer Vision basicsExposure to Jupyter notebooksBasic knowledge of any cloud platform (AWS, Azure, or GCP)Strong eagerness to learnGood communication skillsAbility to work in a teamProblem-solving mindsetAttention to detailOpen to feedback and guidanceReduced experience requirements (1-2 year)Focused on basic/fundamental understanding rather than extensive experienceAdded more emphasis on learning and developmentSimplified technical requirementsAdded structured mentorship and training programsReduced complexity of responsibilitiesMore supportive and learning-focused environmentEmphasis on growth opportunities"
Backend Developer,lo la  -,4 days ago,"New Cairo, Cairo, Egypt ",Full TimeHybridExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API Design · Backend Development · Database Management · RESTful Services · Node.js · Cloud Computing · Version Control (Git) · Problem Solving,Full Time,Hybrid,https://wuzzuf.net/jobs/p/e7ezx33scju0-backend-developer-lo-la-cairo-egypt,Not specified,"Minimum of 4 years of professional experience in backend development.Proven expertise in at least one backend programming language such as Node.js, Python, Java, or Ruby.Strong understanding of RESTful API design and implementation.Experience with relational and/or NoSQL databases (e.g., PostgreSQL, MySQL, MongoDB).Familiarity with version control systems, particularly Git.Ability to work effectively in a hybrid (remote and on-site) environment.Excellent problem-solving skills and attention to detail.Strong communication and collaboration abilities.Experience with cloud platforms (e.g., AWS, Azure, Google Cloud) is a requirement.Demonstrated ability to manage multiple priorities and meet deadlines."
IT Professional with AI Expertise,Confidential -,5 days ago,"Riyadh, Saudi Arabia ",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Software Engineering · Python · DevOps · Artificial Intelligence · Machine Learning · IT Infrastructure · Data Analysis · Python Programming · Project Management,Full Time,On-site,https://wuzzuf.net/saudi/jobs/p/l4fulefbchnv-it-professional-with-ai-expertise-riyadh-saudi-arabia,Not specified,"5–7 years of experience in IT roles, systems integration, cloud services, or enterprise platformsMin 2 yrs experience in AI/ML development using Python, TensorFlow, PyTorch, or similar toolsExposure to MS services such as Azure, Power Platform, BI, Dynamics 365, or Microsoft 365Familiarity with cloud platforms, DevOps, and containerization (Docker, Kubernetes)Strong analytical and problem-solving skillsCertifications in Azure AI, Data Science, or related technologies.Experience with data engineering and MLOps pipelinesUnderstanding of AI ethics and responsible AI practice"
Data Scientist with Database Expertise,Confidential -,17 days ago,"Riyadh, Saudi Arabia ","Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Data Science · Database Management · Python · Data Analysis · Machine Learning · Data Visualization · SQL · ETL (Extract, Transform, Load) · Big Data Technologies",Full Time,On-site,https://wuzzuf.net/saudi/jobs/p/x2pipe3h9jpr-data-scientist-with-database-expertise-riyadh-saudi-arabia,Not specified,
